episode,score,mean_score,mean100,frames_alive,epsilon,total_steps,record
1,0,0.0,0.0,62,80,62,0
2,0,0.0,0.0,102,79,164,0
3,0,0.0,0.0,37,78,201,0
4,0,0.0,0.0,28,77,229,0
5,0,0.0,0.0,40,76,269,0
6,0,0.0,0.0,56,75,325,0
7,1,0.14285714285714285,0.14285714285714285,45,74,370,1
8,1,0.25,0.25,24,73,394,1
9,0,0.2222222222222222,0.2222222222222222,50,72,444,1
10,1,0.3,0.3,28,71,472,1
11,0,0.2727272727272727,0.2727272727272727,21,70,493,1
1,0,0.0,0.0,59,80,59,0
2,0,0.0,0.0,72,79,131,0
3,0,0.0,0.0,102,78,233,0
4,0,0.0,0.0,91,77,324,0
5,0,0.0,0.0,102,76,426,0
1,0,0.0,0.0,59,80,59,0
2,0,0.0,0.0,72,79,131,0
1,0,0.0,0.0,59,80,59,0
2,0,0.0,0.0,72,79,131,0
